Team,MeanPts,StdPts,Title%,Top4%,Releg%
Manchester City,83.31,6.38,43.0,96.46,0.0
Liverpool,79.12,6.59,21.04,87.65,0.0
Arsenal,77.9,6.56,15.75,83.45,0.0
Manchester United,66.66,6.81,0.47,23.91,0.0
Chelsea,62.53,6.8,0.06,9.31,0.01
Tottenham Hotspur,61.12,6.82,0.03,6.39,0.03
Newcastle United,59.7,6.83,0.01,4.2,0.05
Aston Villa,56.84,6.84,0.0,1.57,0.38
Brighton & Hove Albion,53.96,6.85,0.0,0.57,1.16
West Ham United,50.92,6.77,0.0,0.11,3.31
Brentford,47.99,6.73,0.0,0.03,7.96
Fulham,46.53,6.75,0.0,0.02,11.7
Wolverhampton Wanderers,45.06,6.69,0.0,0.0,16.39
Leeds United,42.19,6.62,0.0,0.0,29.03
Everton,40.78,6.55,0.0,0.0,36.71
Burnley,38.04,6.48,0.0,0.0,53.06
Crystal Palace,38.03,6.46,0.0,0.0,53.28
Nottingham Forest,36.74,6.4,0.0,0.0,61.05
AFC Bournemouth,35.43,6.33,0.0,0.0,68.98
Sunderland,31.66,6.12,0.0,0.0,86.82
